unlocode,name,city,iso,lat,lng
ATGGU,Oggau,,AT,47.833330,16.666670
ATGHH,Haugsdorf,,AT,48.700000,16.066670
ATGHJ,Krustetten,,AT,48.360666,15.663539
ATGRN,Grein,,AT,48.216670,14.833330
ATGSN,Gutenstein,,AT,47.866670,15.883330
ATHKM,Hadersdorf-Kammern,,AT,48.450000,15.716670
ATIEG,Limberg,,AT,48.583330,15.866670
ATITN,Hausleiten,,AT,48.383330,16.100000
ATJDD,Judendorf,,AT,47.116670,15.350000
ATJPS,Japons,,AT,48.783330,15.566670
ATKAM,Kammern im Liesingtal,,AT,47.400000,14.900000
ATKFD,Knittelfeld,,AT,47.200000,14.816670
ATKMB,Krummnussbaum,,AT,48.216670,15.166670
ATKTT,Kematen in Tirol,,AT,47.250000,11.266670
ATLKN,Falkenstein,,AT,48.720833,16.585833
ATLTS,Leutschach,,AT,46.666670,15.466670
ATLTX,Hainfeld,,AT,48.033330,15.766670
ATLUA,Lembach,,AT,48.483330,13.883330
ATLZD,Langenzersdorf,,AT,48.300000,16.350000
ATMAB,Marbach an der Donau,,AT,48.216670,15.150000
ATMAN,Manning,,AT,48.083330,13.666670
ATMBS,Morbisch am See,,AT,47.750000,16.666670
ATMKA,Markt Allhau,,AT,47.233330,16.083330
ATMKC,Mitterkirchen,,AT,48.183330,14.700000
ATNAD,Neuhofen an der Ybbs,,AT,48.050000,14.850000
ATND2,Nickelsdorf,,AT,47.933330,17.066670
ATNFN,Neufelden,,AT,48.483330,13.983330
ATNGG,Neudegg,,AT,48.483330,15.883330
ATNNN,Donnerskirchen,,AT,47.900000,16.633330
ATNT9,Muthmannsdorf,,AT,47.833330,16.100000
ATNUZ,Nüziders,,AT,47.183330,9.800000
ATOBU,Oberneukirchen,,AT,48.464514,14.226266
ATOSH,Ottensheim,,AT,48.333330,14.183330
ATPAS,Podersdorf am See,,AT,47.850000,16.833330
ATPBU,Persenbeug,,AT,48.183330,15.066670
ATPET,Petzenkirchen,,AT,48.133330,15.150000
